First Name,Last Name,Gender,Date of Birth,Country,City,Height,Email,Phone Number,Undergraduate College,Degree,Income,Current Company,Designation,Marital Status,Languages Known,Siblings,Religion,Caste,Want Kids,Open to Relocate,Open to Pets,Manglik Status (Indian Context),Horoscope Matching Required (Indian Context),Dietary Preference (Indian Context),Family Type (Indian Context)
Preeti,Gupta,Female,2001-11-28,India,Jaipur,5ft 6in,preeti.gupta27@gmail.com,+91 91415 55582,BITS Pilani,B.Sc Mathematics,₹40 LPA,Deloitte,UI/UX Designer,Never Married,"English, Hindi, Telugu",0,Christianity,Syrian Christian,Maybe,Maybe,Maybe,Don't Know,Not Important,Vegan,Nuclear Family
Gaurav,Patel,Male,1994-12-25,India,Delhi,6ft 2in,gaurav.patel14@gmail.com,+91 96524 96533,Symbiosis International University,Ph.D. Biotechnology,₹7 LPA,Amazon India,Consultant,Never Married,"English, Hindi, Odia",3,Jainism,Digambar,Yes,Maybe,Yes,Don't Know,Optional,Non-Vegetarian,Nuclear Family
Ishaan,Garg,Male,2002-10-11,India,Lucknow,6ft 3in,ishaan.garg86@gmail.com,+91 95314 98150,Lady Shri Ram College,B.A. English,₹25 LPA,Accenture,UI/UX Designer,Never Married,"English, Marathi",0,Jainism,Digambar,Maybe,Maybe,No,Don't Know,Necessary,Eggetarian,Joint Family
Komal,Singh,Female,1995-07-06,India,Jaipur,5ft 6in,komal.singh70@gmail.com,+91 77896 39536,St. Xavier's College,B.Sc Physics,₹35 LPA,Infosys,Technical Architect,Never Married,"English, Kannada, Gujarati",1,Sikhism,Jat Sikh,No,Yes,No,No,Optional,Eggetarian,Nuclear Family
Ananya,Tiwari,Male,2000-10-02,India,Delhi,6ft 6in,ananya.tiwari34@gmail.com,+91 96366 87015,IIM Calcutta,B.A. Economics,₹36 LPA,Microsoft India,HR Manager,Never Married,"English, Hindi, Telugu",1,Hinduism,Reddy,Yes,Maybe,Maybe,Yes,Optional,Non-Vegetarian,Joint Family
Riddhi,Mishra,Female,1996-05-09,India,Kolkata,5ft 8in,riddhi.mishra75@gmail.com,+91 98927 75179,NMIMS,B.Com (Hons),₹36 LPA,HDFC Bank,Consultant,Never Married,"English, Hindi, Gujarati",1,Islam,Sunni,No,Maybe,Maybe,Don't Know,Optional,Non-Vegetarian,Nuclear Family
Pooja,Garg,Female,1994-08-18,India,Kolkata,5ft 9in,pooja.garg42@gmail.com,+91 95013 74044,IIM Ahmedabad,M.Sc Statistics,₹16 LPA,ICICI Bank,Financial Analyst,Never Married,"English, Kannada, Urdu",1,Jainism,Digambar,Maybe,Yes,Yes,No,Necessary,Vegan,Nuclear Family
Diya,Mehta,Male,1999-08-12,India,Mumbai,5ft 0in,diya.mehta89@gmail.com,+91 90897 97392,XLRI Jamshedpur,MBBS,₹37 LPA,Tata Consultancy Services (TCS),Software Engineer,Never Married,"English, Hindi, Gujarati",0,Jainism,Shvetambar,Maybe,No,Yes,Don't Know,Necessary,Vegetarian,Nuclear Family
Rohan,Banerjee,Male,1995-06-09,India,Pune,5ft 9in,rohan.banerjee20@gmail.com,+91 82224 63218,NMIMS,C.A. (Chartered Accountant),₹21 LPA,Amazon India,Assistant Manager,Never Married,"English, Malayalam",0,Hinduism,Baniya,No,No,Maybe,Don't Know,Necessary,Vegetarian,Nuclear Family
Sanjay,Bansal,Male,1996-10-28,India,Delhi,6ft 10in,sanjay.bansal77@gmail.com,+91 71394 40115,Vellore Institute of Technology,C.A. (Chartered Accountant),₹36 LPA,Flipkart,Senior Software Engineer,Awaiting Divorce,"English, Kannada, Odia",0,Islam,Shia,Yes,Yes,Maybe,Yes,Not Important,Vegan,Nuclear Family
Myra,Garg,Female,1997-11-18,India,Kolkata,5ft 9in,myra.garg59@gmail.com,+91 94759 28343,IIT Madras,BDS,₹28 LPA,Infosys,Data Scientist,Never Married,"English, Tamil",3,Christianity,Roman Catholic,Maybe,No,No,Don't Know,Necessary,Eggetarian,Joint Family
Anika,Agrawal,Female,2000-05-26,India,Hyderabad,5ft 1in,anika.agrawal19@gmail.com,+91 72688 45123,Delhi Technological University,M.Tech Data Science,₹15 LPA,Deloitte,HR Manager,Never Married,"English, Hindi",2,Sikhism,Khatri,No,Yes,Yes,No,Necessary,Vegan,Joint Family
Kavya,Iyer,Female,1999-02-20,India,Lucknow,5ft 1in,kavya.iyer51@gmail.com,+91 98302 60493,IIT Bombay,BCA,₹32 LPA,Deloitte,Product Manager,Never Married,"English, Kannada, Telugu",1,Sikhism,Jat Sikh,Yes,No,No,Anshik (Partial),Optional,Non-Vegetarian,Nuclear Family
Vikram,Reddy,Male,1998-02-12,India,Chennai,6ft 6in,vikram.reddy41@gmail.com,+91 93622 91924,IIM Ahmedabad,Ph.D. Biotechnology,₹45 LPA,Microsoft India,Chartered Accountant,Never Married,"English, Marathi, Hindi",3,Christianity,Protestant,No,No,No,Anshik (Partial),Optional,Jain Diet,Nuclear Family
Sneha,Nair,Female,1993-07-11,India,Chennai,5ft 7in,sneha.nair98@gmail.com,+91 90738 74357,FMS Delhi,B.A. English,₹26 LPA,Deloitte,Project Manager,Never Married,"English, Tamil, Gujarati",0,Jainism,Digambar,Maybe,Maybe,Yes,No,Not Important,Vegan,Nuclear Family
Swati,Tiwari,Female,1998-03-21,India,Chennai,5ft 6in,swati.tiwari40@gmail.com,+91 78279 96332,Delhi Technological University,MCA,₹30 LPA,Wipro,Chartered Accountant,Awaiting Divorce,"English, Odia, Gujarati",3,Jainism,Digambar,No,Maybe,Maybe,No,Necessary,Non-Vegetarian,Joint Family
